Gene,Gene description,Variation between individuals,Variation within individuals
CD48,CD48 molecule,8.16,57.65
BLMH,Bleomycin hydrolase,8.13,27.21
ANXA4,Annexin A4,8.13,4.53
TNFAIP2,TNF alpha induced protein 2,8.12,5.78
PIBF1,Progesterone immunomodulatory binding factor 1,8.11,3.51
TFPI,Tissue factor pathway inhibitor,8.1,36.72
STIP1,Stress induced phosphoprotein 1,8.1,0.5
RPRD1B,Regulation of nuclear pre-mRNA domain containing 1B,8.08,26.13
CTRL,Chymotrypsin like,8.06,62.17
PPCDC,Phosphopantothenoylcysteine decarboxylase,8.06,9.1
IST1,IST1 factor associated with ESCRT-III,8.04,6.73
EBAG9,Estrogen receptor binding site associated antigen 9,8.04,5.06
SH3BP5L,SH3 binding domain protein 5 like,8.03,1.24
NPTX1,Neuronal pentraxin 1,8.02,42.16
PRSS27,Serine protease 27,8.01,48.06
LY9,Lymphocyte antigen 9,7.98,46.82
ATAD3B,ATPase family AAA domain containing 3B,7.98,31.88
FOLR1,Folate receptor alpha,7.97,35.9
SIRT2,Sirtuin 2,7.96,7.74
CDH2,Cadherin 2,7.94,29.39
LRPAP1,LDL receptor related protein associated protein 1,7.94,44.17
PRKG1,Protein kinase cGMP-dependent 1,7.92,6.33
TSPAN1,Tetraspanin 1,7.91,10.41
GPD1,Glycerol-3-phosphate dehydrogenase 1,7.91,23.16
NOSIP,Nitric oxide synthase interacting protein,7.87,6.36
TRIM39,Tripartite motif containing 39,7.83,17.44
ARSB,Arylsulfatase B,7.82,14.8
FCAR,Fc alpha receptor,7.82,48.81
SORT1,Sortilin 1,7.8,21.34
GSTT2B,Glutathione S-transferase theta 2B,7.8,74.91
KIT,"KIT proto-oncogene, receptor tyrosine kinase",7.78,50.07
CNPY4,Canopy FGF signaling regulator 4,7.78,5.21
MARS1,Methionyl-tRNA synthetase 1,7.74,3.28
AP1AR,Adaptor related protein complex 1 associated regulatory protein,7.73,1.04
HARS1,Histidyl-tRNA synthetase 1,7.73,2.55
ARFRP1,ADP ribosylation factor related protein 1,7.72,10.98
ENPP6,Ectonucleotide pyrophosphatase/phosphodiesterase 6,7.72,16.58
ACTG2,"Actin gamma 2, smooth muscle",7.72,8.82
HPGDS,Hematopoietic prostaglandin D synthase,7.71,22.88
KLB,Klotho beta,7.7,59.42
ANGPTL3,Angiopoietin like 3,7.7,37.59
PRND,Prion like protein doppel,7.65,29.25
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",7.63,5.76
HDAC6,Histone deacetylase 6,7.62,6.37
VIM,Vimentin,7.62,11.39
OLR1,Oxidized low density lipoprotein receptor 1,7.6,8.13
PTGES3L-AARSD1,PTGES3L-AARSD1 readthrough,7.58,2.19
AARSD1,Alanyl-tRNA synthetase domain containing 1,7.58,2.19
NID2,Nidogen 2,7.58,26.73
PTN,Pleiotrophin,7.58,48.95
MEX3B,Mex-3 RNA binding family member B,7.58,5.08
SRPRA,SRP receptor subunit alpha,7.57,6.74
ISM1,Isthmin 1,7.56,9.53
STX1B,Syntaxin 1B,7.53,14.98
ERBB4,Erb-b2 receptor tyrosine kinase 4,7.51,54.23
CCL17,C-C motif chemokine ligand 17,7.49,28.85
SLAMF7,SLAM family member 7,7.48,64.34
FSTL1,Follistatin like 1,7.48,25.53
RILPL1,Rab interacting lysosomal protein like 1,7.46,8.99
FCN2,Ficolin 2,7.44,62.83
MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,7.44,70.19
ZP3,Zona pellucida glycoprotein 3,7.44,79.84
ZNF274,Zinc finger protein 274,7.44,36.94
RTN4RL2,Reticulon 4 receptor like 2,7.41,19.91
IQCE,IQ motif containing E,7.4,6.12
NRP1,Neuropilin 1,7.4,34.2
DCTPP1,DCTP pyrophosphatase 1,7.4,22.4
ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,7.37,49.17
PAM,Peptidylglycine alpha-amidating monooxygenase,7.36,46.92
MAGEB2,MAGE family member B2,7.36,4.72
FAM171B,Family with sequence similarity 171 member B,7.36,5.84
GALM,Galactose mutarotase,7.35,10.98
LAIR2,Leukocyte associated immunoglobulin like receptor 2,7.34,87.14
ADAMTSL2,ADAMTS like 2,7.33,40.94
IL12A,Interleukin 12A,7.31,54.25
CST3,Cystatin C,7.28,30.86
PPP1R27,Protein phosphatase 1 regulatory subunit 27,7.27,16.37
PARK7,Parkinsonism associated deglycase,7.25,2.52
CAPS,Calcyphosine,7.24,43.98
ECHDC3,Enoyl-CoA hydratase domain containing 3,7.23,53.25
BLTP3B,Bridge-like lipid transfer protein family member 3B,7.2,0
CEND1,Cell cycle exit and neuronal differentiation 1,7.2,16.16
AMDHD2,Amidohydrolase domain containing 2,7.19,9.79
RFC4,Replication factor C subunit 4,7.19,3.18
SAMD9L,Sterile alpha motif domain containing 9 like,7.18,3.9
AHSA1,Activator of HSP90 ATPase activity 1,7.15,9.12
STXBP1,Syntaxin binding protein 1,7.15,6.23
GRIK2,Glutamate ionotropic receptor kainate type subunit 2,7.14,24.77
PRKAR1A,Protein kinase cAMP-dependent type I regulatory subunit alpha,7.14,6.42
LETM1,Leucine zipper and EF-hand containing transmembrane protein 1,7.13,5
ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",7.13,18.43
CC2D1A,Coiled-coil and C2 domain containing 1A,7.12,1.71
WASF3,WASP family member 3,7.11,9.4
FLT3LG,Fms related receptor tyrosine kinase 3 ligand,7.11,59.12
DDI2,DNA damage inducible 1 homolog 2,7.1,0
PLB1,Phospholipase B1,7.09,81.27
UBA52,Ubiquitin A-52 residue ribosomal protein fusion product 1,7.09,15.88
PTX3,Pentraxin 3,7.09,36.48
LRCH4,Leucine rich repeats and calponin homology domain containing 4,7.04,6.31
CCL11,C-C motif chemokine ligand 11,7.01,23.22
OTUD7B,OTU deubiquitinase 7B,6.99,3.17
POLR3F,RNA polymerase III subunit F,6.98,21.56
MRPL46,Mitochondrial ribosomal protein L46,6.98,3.73
SNAP29,Synaptosome associated protein 29,6.98,4.73
PCSK9,Proprotein convertase subtilisin/kexin type 9,6.97,12.64
USP43,Ubiquitin specific peptidase 43,6.96,35.29
TYMP,Thymidine phosphorylase,6.92,4.43
DLG4,Discs large MAGUK scaffold protein 4,6.88,4.49
STX4,Syntaxin 4,6.87,0
SERPINE2,Serpin family E member 2,6.86,18.97
ATXN2,Ataxin 2,6.85,18.43
MZT2B,Mitotic spindle organizing protein 2B,6.85,6.76
MDC1,Mediator of DNA damage checkpoint 1,6.81,18.34
PIN4,"Peptidylprolyl cis/trans isomerase, NIMA-interacting 4",6.79,29.38
MAP2K1,Mitogen-activated protein kinase kinase 1,6.77,2.59
SKAP2,Src kinase associated phosphoprotein 2,6.77,2.86
CFAP410,Cilia and flagella associated protein 410,6.73,8.77
STX8,Syntaxin 8,6.71,1.99
ADGRE3,Adhesion G protein-coupled receptor E3,6.71,38.34
MTDH,Metadherin,6.7,2.77
GGA3,"Golgi associated, gamma adaptin ear containing, ARF binding protein 3",6.68,4.02
EXTL3,Exostosin like glycosyltransferase 3,6.67,24.46
ILKAP,ILK associated serine/threonine phosphatase,6.67,0.34
C1QBP,Complement C1q binding protein,6.66,11.93
TNFRSF14,TNF receptor superfamily member 14,6.66,7.86
LIPF,"Lipase F, gastric type",6.66,40.2
TREML1,Triggering receptor expressed on myeloid cells like 1,6.65,0.65
PLAU,"Plasminogen activator, urokinase",6.65,37.07
COMMD9,COMM domain containing 9,6.65,2.75
CLEC12A,C-type lectin domain family 12 member A,6.62,28.07
ALPP,"Alkaline phosphatase, placental",6.62,65.68
IL23R,Interleukin 23 receptor,6.61,60.69
PPP2R5A,Protein phosphatase 2 regulatory subunit B'alpha,6.6,6.42
TGFBI,Transforming growth factor beta induced,6.59,48.89
SSB,Small RNA binding exonuclease protection factor La,6.59,22.85
BPI,Bactericidal permeability increasing protein,6.58,6.59
SCARB2,Scavenger receptor class B member 2,6.57,27.51
SGF29,SAGA complex associated factor 29,6.56,5.49
PRKAR2A,Protein kinase cAMP-dependent type II regulatory subunit alpha,6.55,5.03
CRYM,Crystallin mu,6.54,15.2
SIL1,SIL1 nucleotide exchange factor,6.53,28.48
ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",6.51,17.33
SPAG9,Sperm associated antigen 9,6.51,2.83
HGFAC,HGF activator,6.49,50.12
ATRAID,All-trans retinoic acid induced differentiation factor,6.46,23.59
VNN1,Vanin 1,6.44,70.56
SPINT1,"Serine peptidase inhibitor, Kunitz type 1",6.43,38.12
DENND2B,DENN domain containing 2B,6.42,22.6
PDCD6,Programmed cell death 6,6.41,53.49
CKMT1A,"Creatine kinase, mitochondrial 1A",6.4,27.6
CKMT1B,"Creatine kinase, mitochondrial 1B",6.4,27.6
ABLIM3,Actin binding LIM protein family member 3,6.37,3.25
GATD3,Glutamine amidotransferase class 1 domain containing 3,6.37,8.09
FURIN,"Furin, paired basic amino acid cleaving enzyme",6.36,25.19
TNFRSF1B,TNF receptor superfamily member 1B,6.36,36.66
CCL26,C-C motif chemokine ligand 26,6.36,21.74
ACYP1,Acylphosphatase 1,6.35,1.82
PHLDB1,Pleckstrin homology like domain family B member 1,6.34,12.67
ZER1,Zyg-11 related cell cycle regulator,6.33,2.79
TMEM25,Transmembrane protein 25,6.33,31.91
TYMS,Thymidylate synthetase,6.32,1.18
EDF1,Endothelial differentiation related factor 1,6.29,5.43
CCNL1,Cyclin L1,6.28,17.96
RILP,Rab interacting lysosomal protein,6.27,2.51
RAB11FIP5,RAB11 family interacting protein 5,6.25,13.84
EPC1,Enhancer of polycomb homolog 1,6.23,23.98
PF4,Platelet factor 4,6.23,15.88
UBXN2B,UBX domain protein 2B,6.22,1.86
HOMER3,Homer scaffold protein 3,6.18,9.29
MYH9,Myosin heavy chain 9,6.18,6.46
TRAK1,Trafficking kinesin protein 1,6.17,7.18
EGFL6,EGF like domain multiple 6,6.15,26.58
RLN1,Relaxin 1,6.15,10.41
PXDNL,Peroxidasin like,6.14,46.14
MTUS2,Microtubule associated scaffold protein 2,6.13,0
SFTPD,Surfactant protein D,6.11,78.07
CEP85,Centrosomal protein 85,6.11,3.25
STX12,Syntaxin 12,6.11,14.21
RAB3IL1,RAB3A interacting protein like 1,6.1,0.33
ERBB2,Erb-b2 receptor tyrosine kinase 2,6.09,18.99
PLA2G12A,Phospholipase A2 group XIIA,6.08,2.67
C9orf40,Chromosome 9 open reading frame 40,6.07,0
PCYT2,"Phosphate cytidylyltransferase 2, ethanolamine",6.07,9.25
KLRK1,Killer cell lectin like receptor K1,6.07,63.35
PRRT2,Proline rich transmembrane protein 2,6.06,24.04
DCTN6,Dynactin subunit 6,6.03,4.22
EXOSC3,Exosome component 3,6.02,24.85
TGFB2,Transforming growth factor beta 2,5.99,34.42
DCP1A,Decapping mRNA 1A,5.99,5.96
IVL,Involucrin,5.99,45.98
CRISP3,Cysteine rich secretory protein 3,5.98,30.9
TGFA,Transforming growth factor alpha,5.97,4.34
CD101,CD101 molecule,5.96,66.39
TGFBR2,Transforming growth factor beta receptor 2,5.95,37.38
AGR2,"Anterior gradient 2, protein disulphide isomerase family member",5.94,25.46
ANKIB1,Ankyrin repeat and IBR domain containing 1,5.92,1.49
HGF,Hepatocyte growth factor,5.91,14.05
FNBP1,Formin binding protein 1,5.9,2.46
BCHE,Butyrylcholinesterase,5.89,55.8
SETMAR,SET domain and mariner transposase fusion gene,5.89,24.73
AP3B1,Adaptor related protein complex 3 subunit beta 1,5.89,3.64
MAD1L1,Mitotic arrest deficient 1 like 1,5.88,5.78
EGF,Epidermal growth factor,5.88,0.85
COL6A3,Collagen type VI alpha 3 chain,5.87,20.66
SIGLEC10,Sialic acid binding Ig like lectin 10,5.84,44.75
TXNDC9,Thioredoxin domain containing 9,5.83,1.31
OSTN,Osteocrin,5.82,16.97
ZNF423,Zinc finger protein 423,5.82,26.8
CTSC,Cathepsin C,5.81,47.51
BCL7B,BAF chromatin remodeling complex subunit BCL7B,5.81,13.69
NBEAL2,Neurobeachin like 2,5.81,32.7
SERPINB8,Serpin family B member 8,5.8,9.86
CTSW,Cathepsin W,5.79,24.37
LONP1,"Lon peptidase 1, mitochondrial",5.78,6.57
MEGF9,Multiple EGF like domains 9,5.78,29.03
LAMP2,Lysosomal associated membrane protein 2,5.76,30.52
TMF1,TATA element modulatory factor 1,5.76,3.27
ACOT13,Acyl-CoA thioesterase 13,5.74,2.02
LTK,Leukocyte receptor tyrosine kinase,5.74,55.71
CSF1,Colony stimulating factor 1,5.74,28.17
PLTP,Phospholipid transfer protein,5.72,18.66
MYO9B,Myosin IXB,5.72,0
RAD23B,"RAD23 homolog B, nucleotide excision repair protein",5.72,3.62
STX16,Syntaxin 16,5.72,15.72
TXNRD1,Thioredoxin reductase 1,5.71,6.38
CCL3,C-C motif chemokine ligand 3,5.71,35.71
JAM3,Junctional adhesion molecule 3,5.68,24.3
ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5 (inactive),5.67,38.89
DAB2,DAB adaptor protein 2,5.67,6.67
METAP1D,"Methionyl aminopeptidase type 1D, mitochondrial",5.66,5.5
DNPEP,Aspartyl aminopeptidase,5.66,37.44
NTRK3,Neurotrophic receptor tyrosine kinase 3,5.65,34.91
SLAMF1,Signaling lymphocytic activation molecule family member 1,5.62,34
BTN1A1,Butyrophilin subfamily 1 member A1,5.61,23.51
CRTAM,Cytotoxic and regulatory T cell molecule,5.6,40.27
EBI3,Epstein-Barr virus induced 3,5.6,49.85
IL27,Interleukin 27,5.6,49.85
IL7R,Interleukin 7 receptor,5.59,71.15
CORO1A,Coronin 1A,5.59,3.17
DEFA1,Defensin alpha 1,5.58,26.57
DEFA1B,Defensin alpha 1B,5.58,26.57
USH1C,USH1 protein network component harmonin,5.57,41.25
NECTIN4,Nectin cell adhesion molecule 4,5.57,36.61
DGKH,Diacylglycerol kinase eta,5.57,28.11
DAPK2,Death associated protein kinase 2,5.55,5.61
HS6ST2,Heparan sulfate 6-O-sulfotransferase 2,5.55,28.33
TDRD3,Tudor domain containing 3,5.54,2.51
FKBP15,FKBP prolyl isomerase family member 15,5.53,18.96
NBL1,"NBL1, DAN family BMP antagonist",5.52,31.98
SAFB2,Scaffold attachment factor B2,5.5,1.91
DDC,Dopa decarboxylase,5.49,23.69
LMNB2,Lamin B2,5.46,15.87
CCL7,C-C motif chemokine ligand 7,5.45,29.59
MEP1B,Meprin A subunit beta,5.45,83.77
NOTCH2,Notch receptor 2,5.45,56.19
EFNA4,Ephrin A4,5.43,25.55
WDR46,WD repeat domain 46,5.42,6.26
UROS,Uroporphyrinogen III synthase,5.4,20.28
CCER2,Coiled-coil glutamate rich protein 2,5.4,64.19
CSF2RB,Colony stimulating factor 2 receptor subunit beta,5.39,85.68
ACHE,Acetylcholinesterase (Cartwright blood group),5.39,27.17
HBZ,Hemoglobin subunit zeta,5.37,66.43
GCG,Glucagon,5.36,5.27
SEL1L,SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,5.36,21.82
GOLGA1,Golgin A1,5.36,1.85
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",5.36,4.94
LURAP1,Leucine rich adaptor protein 1,5.33,40.95
PTPRB,Protein tyrosine phosphatase receptor type B,5.33,54.7
FKBPL,FKBP prolyl isomerase like,5.31,5.82
ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase 1,5.3,58.26
MARVELD3,MARVEL domain containing 3,5.29,20.19
ADGRE2,Adhesion G protein-coupled receptor E2,5.27,29.51
INSL4,Insulin like 4,5.26,39.06
DGKA,Diacylglycerol kinase alpha,5.26,4.96
EML1,EMAP like 1,5.25,31.61
FBXO28,F-box protein 28,5.25,8.96
ANKRD6,Ankyrin repeat domain 6,5.24,17.19
SERPINA11,Serpin family A member 11,5.23,41.1
GUF1,GTP binding elongation factor GUF1,5.21,18.7
HPSE,Heparanase,5.21,16.92
KIAA0586,KIAA0586,5.18,15.41
VWC2,Von Willebrand factor C domain containing 2,5.18,20.28
FTCD,Formimidoyltransferase cyclodeaminase,5.17,24.49
SFRP4,Secreted frizzled related protein 4,5.15,23.82
ANXA3,Annexin A3,5.14,7.43
PTH1R,Parathyroid hormone 1 receptor,5.13,37.63
MRPL24,Mitochondrial ribosomal protein L24,5.12,14.45
PCDH9,Protocadherin 9,5.1,33.26
NIT2,Nitrilase family member 2,5.1,5.73
DHRS7,Dehydrogenase/reductase 7,5.08,20.72
CERT1,Ceramide transporter 1,5.08,3
SMAP1,Small ArfGAP 1,5.07,3.34
LAMP3,Lysosomal associated membrane protein 3,5.07,26.68
L3HYPDH,Trans-L-3-hydroxyproline dehydratase,5.07,8.74
DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,5.07,3.91
FXN,Frataxin,5.05,10.65
P4HB,Prolyl 4-hydroxylase subunit beta,5.04,2.31
R3HCC1,R3H domain and coiled-coil containing 1,5.04,10.42
NOS3,Nitric oxide synthase 3,5.03,9.2
LGALS4,Galectin 4,5.03,20.64
BRD3,Bromodomain containing 3,5.01,5.77
ERP44,Endoplasmic reticulum protein 44,5,10.39
SKIL,SKI like proto-oncogene,4.99,38.91
C5orf34,Chromosome 5 open reading frame 34,4.99,28.56
TNFSF12,TNF superfamily member 12,4.99,18.3
GCC1,GRIP and coiled-coil domain containing 1,4.98,4.36
SERPINE1,Serpin family E member 1,4.98,13.04
SLAMF8,SLAM family member 8,4.96,70.05
COL4A1,Collagen type IV alpha 1 chain,4.94,55.17
ADGRD1,Adhesion G protein-coupled receptor D1,4.94,35.31
MZB1,Marginal zone B and B1 cell specific protein,4.94,37.52
MPO,Myeloperoxidase,4.93,11.98
AHNAK,AHNAK nucleoprotein,4.91,10.47
CTSH,Cathepsin H,4.9,51.27
TNFRSF17,TNF receptor superfamily member 17,4.9,37.04
MISP,Mitotic spindle positioning,4.9,9.94
ATP5IF1,ATP synthase inhibitory factor subunit 1,4.89,10.08
CXCL8,C-X-C motif chemokine ligand 8,4.87,2.98
ABCA2,ATP binding cassette subfamily A member 2,4.86,2.16
INSR,Insulin receptor,4.86,2.34
CXADR,CXADR Ig-like cell adhesion molecule,4.85,29.62
LPO,Lactoperoxidase,4.85,45.78
ANGPTL2,Angiopoietin like 2,4.84,39.2
COMMD1,Copper metabolism domain containing 1,4.83,2.3
BCAM,Basal cell adhesion molecule (Lutheran blood group),4.82,49.13
IVD,Isovaleryl-CoA dehydrogenase,4.8,6.21
NUDT2,Nudix hydrolase 2,4.8,5.75
ATP6V1G1,ATPase H+ transporting V1 subunit G1,4.78,10.86
CD79B,CD79b molecule,4.78,39
CSF3R,Colony stimulating factor 3 receptor,4.77,53.69
NELL1,Neural EGFL like 1,4.76,62.46
VSTM2L,V-set and transmembrane domain containing 2 like,4.76,26.85
RBFOX3,RNA binding fox-1 homolog 3,4.76,18.75
VASN,Vasorin,4.75,35.04
ANKRD36B,Ankyrin repeat domain 36B,4.75,19.09
ICAM3,Intercellular adhesion molecule 3,4.74,64.76
EFHD2,EF-hand domain family member D2,4.73,5.38
CENATAC,Centrosomal AT-AC splicing factor,4.73,5.09
AREG,Amphiregulin,4.72,8.19
TIMM8A,Translocase of inner mitochondrial membrane 8A,4.72,1.04
PLA2G10,Phospholipase A2 group X,4.72,41.48
TEX11,Testis expressed 11,4.72,38.37
NTRK2,Neurotrophic receptor tyrosine kinase 2,4.71,22.3
SIRT3,Sirtuin 3,4.68,19.89
VEGFD,Vascular endothelial growth factor D,4.68,49.02
TIMP3,TIMP metallopeptidase inhibitor 3,4.68,36.78
DOK2,Docking protein 2,4.67,6.6
BOC,"BOC cell adhesion associated, oncogene regulated",4.67,39.75
VSIG2,V-set and immunoglobulin domain containing 2,4.67,40.88
CD2AP,CD2 associated protein,4.67,4.13
PTPN1,Protein tyrosine phosphatase non-receptor type 1,4.66,1.07
DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,4.66,7.83
CDC27,Cell division cycle 27,4.65,8.05
MCFD2,"Multiple coagulation factor deficiency 2, ER cargo receptor complex subunit",4.65,5.4
FCGR2B,Fc gamma receptor IIb,4.64,69.49
SH3GLB2,"SH3 domain containing GRB2 like, endophilin B2",4.64,2.99
CLPP,Caseinolytic mitochondrial matrix peptidase proteolytic subunit,4.61,22.78
MDK,Midkine,4.59,5.72
CETN3,Centrin 3,4.58,8.65
RGL2,Ral guanine nucleotide dissociation stimulator like 2,4.58,11.55
ING1,Inhibitor of growth family member 1,4.57,0.18
AKT3,AKT serine/threonine kinase 3,4.57,2.86
GAST,Gastrin,4.57,12.9
GSDMD,Gasdermin D,4.52,6.39
MIF4GD,MIF4G domain containing,4.52,9.53
HEPH,Hephaestin,4.52,39.02
CD300LF,CD300 molecule like family member f,4.52,77.37
TBC1D23,TBC1 domain family member 23,4.51,2.77
SMPDL3A,Sphingomyelin phosphodiesterase acid like 3A,4.51,73.47
SLC39A14,Solute carrier family 39 member 14,4.5,15.31
MUC7,"Mucin 7, secreted",4.48,42.66
QDPR,Quinoid dihydropteridine reductase,4.48,5.08
NOTCH3,Notch receptor 3,4.48,20.14
DKKL1,Dickkopf like acrosomal protein 1,4.48,81.14
VSIR,V-set immunoregulatory receptor,4.47,14.53
NDE1,NudE neurodevelopment protein 1,4.47,0
SATB1,SATB homeobox 1,4.45,5.48
CCL5,C-C motif chemokine ligand 5,4.45,17.33
NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,4.45,50.43
SERPINB4,Serpin family B member 4,4.45,23.3
INSL5,Insulin like 5,4.44,43.8
PSMD1,"Proteasome 26S subunit, non-ATPase 1",4.44,3.56
SCRIB,Scribble planar cell polarity protein,4.43,24
PPP1R14D,Protein phosphatase 1 regulatory inhibitor subunit 14D,4.42,16.51
GHRL,Ghrelin and obestatin prepropeptide,4.41,22.75
FYB1,FYN binding protein 1,4.41,11
CCL16,C-C motif chemokine ligand 16,4.41,61.31
FKBP4,FKBP prolyl isomerase 4,4.41,6.63
CILP,Cartilage intermediate layer protein,4.4,24.86
PTTG2,Pituitary tumor-transforming 2,4.4,26.68
SLC28A1,Solute carrier family 28 member 1,4.4,16.1
ADGRB3,Adhesion G protein-coupled receptor B3,4.38,67.64
GCNT1,Glucosaminyl (N-acetyl) transferase 1,4.37,27.53
EVL,Enah/Vasp-like,4.34,13.15
ACADSB,Acyl-CoA dehydrogenase short/branched chain,4.34,9.41
TDRKH,Tudor and KH domain containing,4.32,7.23
CD226,CD226 molecule,4.31,19.15
ERI1,Exoribonuclease 1,4.3,0
CLPS,Colipase,4.3,57.73
SEPTIN9,Septin 9,4.3,15.13
RP2,RP2 activator of ARL3 GTPase,4.29,13.1
TNFSF13,TNF superfamily member 13,4.29,15.32
LXN,Latexin,4.29,6.08
NECTIN2,Nectin cell adhesion molecule 2,4.27,28.54
HCLS1,Hematopoietic cell-specific Lyn substrate 1,4.25,6.83
SIGLEC1,Sialic acid binding Ig like lectin 1,4.25,36.09
CEP128,Centrosomal protein 128,4.25,9.4
PDGFD,Platelet derived growth factor D,4.24,23.5
ARHGAP27,Rho GTPase activating protein 27,4.23,5.51
AFAP1,Actin filament associated protein 1,4.21,79.53
THBS2,Thrombospondin 2,4.21,52.59
ICAM5,Intercellular adhesion molecule 5,4.2,67.22
LAP3,Leucine aminopeptidase 3,4.2,6.88
CAMK4,Calcium/calmodulin dependent protein kinase IV,4.19,10.88
CLEC4M,C-type lectin domain family 4 member M,4.19,60.39
FUT8,Fucosyltransferase 8,4.18,46.14
REG1A,Regenerating family member 1 alpha,4.17,25.02
CEP135,Centrosomal protein 135,4.16,3.5
DNASE1,Deoxyribonuclease 1,4.14,63.25
OMD,Osteomodulin,4.13,13.09
ACE2,Angiotensin converting enzyme 2,4.12,27.26
KIF4A,Kinesin family member 4A,4.11,4.49
WFDC2,WAP four-disulfide core domain 2,4.1,16.08
GAS6,Growth arrest specific 6,4.09,15.54
TNFRSF10A,TNF receptor superfamily member 10a,4.09,39.51
ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1",4.08,11.53
RWDD1,RWD domain containing 1,4.08,4.37
STX3,Syntaxin 3,4.08,21.87
CPN2,Carboxypeptidase N subunit 2,4.08,76.14
NHEJ1,Non-homologous end joining factor 1,4.06,11.23
FNTA,"Farnesyltransferase, CAAX box, alpha",4.06,8.98
PNMA8A,PNMA family member 8A,4.06,36.77
OSCAR,Osteoclast associated Ig-like receptor,4.05,61.26
ASAH1,N-acylsphingosine amidohydrolase 1,4.04,21.47
BMPER,BMP binding endothelial regulator,4.04,29.63
SULT2A1,Sulfotransferase family 2A member 1,4.03,29.53
PINLYP,Phospholipase A2 inhibitor and LY6/PLAUR domain containing,4.02,72.62
VASP,Vasodilator stimulated phosphoprotein,4.01,5.3
NUCB2,Nucleobindin 2,4,18.83
C1QTNF1,C1q and TNF related 1,3.99,29.06
IFNAR2,Interferon alpha and beta receptor subunit 2,3.98,48.69
ACE,Angiotensin I converting enzyme,3.98,65.31
SHMT2,Serine hydroxymethyltransferase 2,3.96,8.38
DDR1,Discoidin domain receptor tyrosine kinase 1,3.95,35.74
STX7,Syntaxin 7,3.95,17.4
ST13,ST13 Hsp70 interacting protein,3.95,3.17
SLAMF6,SLAM family member 6,3.94,6.61
PHF20,PHD finger protein 20,3.93,12
SEMA6D,Semaphorin 6D,3.92,16.51
IGSF22,Immunoglobulin superfamily member 22,3.91,38.95
RAB10,"RAB10, member RAS oncogene family",3.9,7.97
IL16,Interleukin 16,3.9,12.65
RAPGEF2,Rap guanine nucleotide exchange factor 2,3.9,2.8
CENPJ,Centromere protein J,3.89,28.82
GDAP2,Ganglioside induced differentiation associated protein 2,3.89,2.08
DDX23,DEAD-box helicase 23,3.88,2.14
YTHDF3,YTH N6-methyladenosine RNA binding protein 3,3.88,7.29
PLXDC1,Plexin domain containing 1,3.88,32.29
RECK,Reversion inducing cysteine rich protein with kazal motifs,3.87,43.49
DTX2,Deltex E3 ubiquitin ligase 2,3.86,36.62
CCDC50,Coiled-coil domain containing 50,3.85,16.75
ADAM12,ADAM metallopeptidase domain 12,3.85,3.43
ABLIM1,Actin binding LIM protein 1,3.84,21.25
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,3.84,8.06
ERC2,ELKS/RAB6-interacting/CAST family member 2,3.8,12.15
TNFRSF1A,TNF receptor superfamily member 1A,3.8,31.21
PTPRH,Protein tyrosine phosphatase receptor type H,3.8,73.64
NFATC4,Nuclear factor of activated T cells 4,3.8,34.67
RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1,3.79,0
LTBP3,Latent transforming growth factor beta binding protein 3,3.78,67.29
COQ7,"Coenzyme Q7, hydroxylase",3.76,25.45
DNAJA4,DnaJ heat shock protein family (Hsp40) member A4,3.75,0
PYY,Peptide YY,3.75,13.65
MSX2,Msh homeobox 2,3.75,23.64
CKAP2L,Cytoskeleton associated protein 2 like,3.73,53.51
AMFR,Autocrine motility factor receptor,3.72,51.44
HRH1,Histamine receptor H1,3.72,26.33
MME,Membrane metalloendopeptidase,3.71,66.58
PTPRK,Protein tyrosine phosphatase receptor type K,3.7,22.28
ALDH9A1,Aldehyde dehydrogenase 9 family member A1,3.7,8.33
LTF,Lactotransferrin,3.69,25.03
HSPA4L,Heat shock protein family A (Hsp70) member 4 like,3.67,37.81
FCHO1,FCH and mu domain containing endocytic adaptor 1,3.67,1.17
CST5,Cystatin D,3.67,76.75
CRTAP,Cartilage associated protein,3.66,5.27
SPINK7,Serine peptidase inhibitor Kazal type 7,3.66,23.77
CANT1,Calcium activated nucleotidase 1,3.66,8.85
ATP6V1F,ATPase H+ transporting V1 subunit F,3.65,4.85
RPL14,Ribosomal protein L14,3.64,7.48
